nombreCircuito,pais,vueltaRapida,anioCarrera,ganadorCarrera,ganadorEquipo
Albert Park,Australia,1:25.683 (Giancarlo Fisichella),2005,Giancarlo Fisichella,Mild Seven Renault F1 Team
Sepang,Malasia,1:35.483 (Kimi Räikkönen),2005,Fernando Alonso,Mild Seven Renault F1 Team
Sakhir,Bahréin,1:31.447 (Pedro de la Rosa),2005,Fernando Alonso,Mild Seven Renault F1 Team
Imola,San Marino,1:21.858 (Fernando Alonso),2005,Fernando Alonso,Mild Seven Renault F1 Team
Catalunya,España,1:15.641 (Kimi Räikkönen),2005,Kimi Räikkönen,West McLaren Mercedes
Montecarlo,Mónaco,1:15.842 (Michael Schumacher),2005,Kimi Räikkönen,West McLaren Mercedes
Nürburgring,Alemania,1:30.711 (Fernando Alonso),2005,Fernando Alonso,Mild Seven Renault F1 Team
Montreal,Canadá,1:14.384 (Kimi Räikkönen),2005,Kimi Räikkönen,West McLaren Mercedes
Indianápolis,EE.UU.,1:11.925 (Michael Schumacher),2005,Michael Schumacher,Scuderia Ferrari Marlboro
Magny-Cours,Francia,1:16.423 (Kimi Räikkönen),2005,Fernando Alonso,Mild Seven Renault F1 Team
Silverstone,Reino Unido,1:20.502 (Juan Pablo Montoya),2005,Juan Pablo Montoya,West McLaren Mercedes
Hockenheim,Alemania,1:14.873 (Kimi Räikkönen),2005,Fernando Alonso,Mild Seven Renault F1 Team
Hungaroring,Hungría,1:21.219 (Kimi Räikkönen),2005,Kimi Räikkönen,West McLaren Mercedes
Estambul,Turquía,1:24.770 (Juan Pablo Montoya),2005,Kimi Räikkönen,West McLaren Mercedes
Monza,Italia,1:21.504 (Kimi Räikkönen),2005,Juan Pablo Montoya,West McLaren Mercedes
Spa-Francorchamps,Bélgica,1:51.453 (Kimi Räikkönen),2005,Kimi Räikkönen,West McLaren Mercedes
Interlagos,Brasil,1:12.268 (Juan Pablo Montoya),2005,Juan Pablo Montoya,West McLaren Mercedes
Suzuka,Japón,1:31.540 (Kimi Räikkönen),2005,Kimi Räikkönen,West McLaren Mercedes
Shanghai,China,1:32.238 (Michael Schumacher),2005,Fernando Alonso,Mild Seven Renault F1 Team
