nombre,nacionalidad,base,anioFundacion,fundador,rutaFoto
Ferrari,Italiana,Maranello,1929,Enzo Ferrari,https://www.formula1.it/admin/foto/Scuderie/Scuderia_271.gif.png
McLaren,Británica,Woking,1963,Bruce McLaren,https://upload.wikimedia.org/wikipedia/de/thumb/3/3d/Team_McLaren_Mercedes_Logo.svg/2560px-Team_McLaren_Mercedes_Logo.svg.png
Renault,Francesa,Viry-Châtillon,1977,Renault (como equipo),https://i.pinimg.com/474x/cf/4f/d8/cf4fd8a5e23507bbe297440c20217028.jpg
Williams,Británica,Grove,1977,Frank Williams y Patrick Head,https://i.pinimg.com/736x/ce/97/ed/ce97ed6be99003209de5a968f32985cc.jpg
Toyota,Japonesa,Colonia,1999,Toyota,https://cdn.worldvectorlogo.com/logos/toyota-f1-1.svg
BAR,Británica,Brackley,1999,Craig Pollock,https://upload.wikimedia.org/wikipedia/az/f/f4/BAR_%28Formula-1_komandas%C4%B1%29_loqosu.png
Sauber,Suiza,Hinwil,1993,Peter Sauber,https://overtake-data.community.forum/attachments/608/608363-d19e50311e5bdd0b29da1708171f8b9a.jpg
Red Bull,Austríaca,Milton Keynes,2005,Dietrich Mateschitz,https://cdn-1.motorsport.com/images/mgl/Y99JQRbY/s8/red-bull-racing-logo-1.jpg
Jordan,Irlandesa,Silverstone,1991,Eddie Jordan,https://ih1.redbubble.net/image.4112020060.8775/bg,f8f8f8-flat,750x,075,f-pad,750x1000,f8f8f8.jpg
Minardi,Italiana,Faenza,1985,Giacarlo Minardi,https://cdn.worldvectorlogo.com/logos/minardi-f1.svg
